date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-12-22,16.2,9.5,21.2,0,,203,21.5,,1016.9,
2022-12-23,15.6,10.2,19.6,0,,225,21.6,,1015.2,
2022-12-24,13.6,7,18.2,0,,268,12.4,,1011.8,
2022-12-25,14.8,9.3,19,0,,327,13.9,,1011.6,
2022-12-26,17.8,13.6,21.4,0,,299,12.1,,1016.8,
2022-12-27,15.3,10.7,19.3,0,,275,11.3,,1018.8,
2022-12-28,15.4,13.1,18.2,0,,324,14.9,,1017.5,
2022-12-29,15.4,11,19,0,,348,14.8,,1014.5,
2022-12-30,16.8,14.2,19.5,0,,316,15.1,,1014.9,
2022-12-31,17,15.9,19,6.6,,329,10.6,,1018,
2023-01-01,17,12,20.3,0,,198,19.3,,1019.9,
2023-01-02,15,9.2,18,0,,243,17.1,,1018.5,
2023-01-03,15.9,10.1,21,0,,161,17.4,,1015,
2023-01-04,15.8,9.4,19,0,,324,13.3,,1013.8,
2023-01-05,17.7,14.7,20.2,0,,321,14.4,,1017.1,
2023-01-06,16.9,11.7,21,0,,262,12.3,,1016.8,
2023-01-07,16.5,12.2,20,0,,270,11,,1017.3,
2023-01-08,16.5,12.7,19.5,0,,266,15.4,,1016.7,
2023-01-09,16.6,15.2,19,0,,279,11.8,,1016.9,
2023-01-10,17.2,13.4,21,0,,256,13.8,,1017.3,
2023-01-11,16.5,11,21,0,,225,16.9,,1017,
2023-01-12,15.4,12.9,18.1,0,,310,18.2,,1016.6,
2023-01-13,15.1,12.9,18,0,,308,14.3,,1014.8,
2023-01-14,14.3,12.4,16.6,0,,274,17.3,,1016.5,
2023-01-15,14.7,12.3,17.5,0,,333,14.5,,1016.2,
2023-01-16,14.9,13,18.7,0,,295,13.9,,1015.3,
2023-01-17,14.7,12.2,17.2,0,,273,16.5,,1017.1,
2023-01-18,14.3,8.9,18.1,0,,305,11.9,,1015.3,
2023-01-19,15.7,13.5,18.5,0.2,,287,11.5,,1016.6,
2023-01-20,17.1,12.8,21,0,,226,17.4,,1016.3,
2023-01-21,14.7,10,18.1,0,,289,15.8,,1014.7,
2023-01-22,15.7,13.5,18,0,,327,14.5,,1013,
2023-01-23,16.5,15,19.2,0,,304,15.7,,1013.3,
2023-01-24,17.3,14,21,0,,229,17,,1014.9,
2023-01-25,15.9,13,20.6,0,,347,16.2,,1012.9,
2023-01-26,14.9,10.3,18,0,,262,13,,1013.9,
2023-01-27,16,12.5,20,0,,279,14.9,,1013.7,
